keyword;mapel;bobot
FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN - KAMPUS CIREBON (FITB-C);Matematika Tingkat Lanjut;4
FAKULTAS SENIRUPA DAN DESAIN (FSRD);Matematika;5
FAKULTAS SENIRUPA DAN DESAIN (FSRD);Bahasa Indonesia;4
SEKOLAH BISNIS DAN MANAJEMEN (SBM);Ekonomi;5
SEKOLAH BISNIS DAN MANAJEMEN (SBM);Matematika Tingkat Lanjut;4
FAKULTAS SENIRUPA DAN DESAIN - KAMPUS CIREBON (FSRD-C);Matematika;5
FAKULTAS SENIRUPA DAN DESAIN - KAMPUS CIREBON (FSRD-C);Bahasa Indonesia;4
FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI);Fisika;5
FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI);Matematika Tingkat Lanjut;4
FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - TEKNOLOGI LINGKUNGAN (FTSL-L);Fisika;5
FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN - TEKNOLOGI LINGKUNGAN (FTSL-L);Matematika Tingkat Lanjut;4
FAKULTAS TEKNOLOGI INDUSTRI - SISTEM DAN PROSES (FTI-SP);Fisika;5
FAKULTAS TEKNOLOGI INDUSTRI - SISTEM DAN PROSES (FTI-SP);Matematika Tingkat Lanjut;4
FAKULTAS TEKNOLOGI INDUSTRI - REKAYASA INDUSTRI (FTI-RI);Fisika;5
FAKULTAS TEKNOLOGI INDUSTRI - REKAYASA INDUSTRI (FTI-RI);Matematika Tingkat Lanjut;4
SEKOLAH BISNIS DAN MANAJEMEN - KAMPUS CIREBON (SBM-C);Ekonomi;5
SEKOLAH BISNIS DAN MANAJEMEN - KAMPUS CIREBON (SBM-C);Matematika;4
PERIKLANAN KREATIF;Sosiologi;5
PERIKLANAN KREATIF;Bahasa Indonesia;4
media;Sosiologi;5
media;Bahasa Indonesia;4
pemasaran digital;Ekonomi;5
pemasaran digital;Matematika;4
biomedik;Fisika;5
biomedik;Biologi;4
PETERNAKAN;Biologi;5
PETERNAKAN;Kimia;4
perikanan;Biologi;5
perikanan;Kimia;4
TEKNIK INDUSTRI PERTANIAN;Biologi;5
