Kode PTN,Nama Kampus,Kode Jurusan,Nama Jurusan,Jenjang,Portofolio,Peminat 2024,Daya Tampung 2024,Peminat 2025,Daya Tampung 2025,Link Detail
1311,"UNTIRTA",'13111033,"PENDIDIKAN GURU SEKOLAH DASAR","Sarjana","Tidak Ada",935,30,971,45,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311033&jenis=0"
1311,"UNTIRTA",'13111034,"PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI","Sarjana","Tidak Ada",185,45,185,52,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311034&jenis=0"
1311,"UNTIRTA",'13111035,"EKONOMI SYARIAH","Sarjana","Tidak Ada",316,45,342,62,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311035&jenis=0"
1311,"UNTIRTA",'13111036,"PENDIDIKAN SOSIOLOGI","Sarjana","Tidak Ada",280,30,337,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311036&jenis=0"
1311,"UNTIRTA",'13111037,"PENDIDIKAN SEJARAH","Sarjana","Tidak Ada",224,30,284,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311037&jenis=0"
1311,"UNTIRTA",'13111038,"PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN","Sarjana","Tidak Ada",208,30,205,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311038&jenis=0"
1311,"UNTIRTA",'13111039,"PENDIDIKAN SENI PERTUNJUKAN","Sarjana","Sendratasik",62,30,79,30,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311039&jenis=0"
1311,"UNTIRTA",'13111040,"BIMBINGAN DAN KONSELING","Sarjana","Tidak Ada",665,30,733,42,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311040&jenis=0"
1311,"UNTIRTA",'13111041,"PENDIDIKAN KHUSUS","Sarjana","Tidak Ada",81,27,98,32,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311041&jenis=0"
1311,"UNTIRTA",'13111042,"ILMU PEMERINTAHAN","Sarjana","Tidak Ada",574,50,452,57,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311042&jenis=0"
1311,"UNTIRTA",'13111049,"PETERNAKAN","Sarjana","Tidak Ada",101,30,171,40,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311049&jenis=0"
1311,"UNTIRTA",'13111050,"STATISTIKA","Sarjana","Tidak Ada",132,15,147,20,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311050&jenis=0"
1311,"UNTIRTA",'13113044,"AKUNTANSI","Diploma Tiga","Tidak Ada",103,30,125,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311044&jenis=0"
1311,"UNTIRTA",'13113045,"PERBANKAN DAN KEUANGAN","Diploma Tiga","Tidak Ada",134,30,158,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311045&jenis=0"
1311,"UNTIRTA",'13113047,"MANAJEMEN PEMASARAN","Diploma Tiga","Tidak Ada",134,30,148,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311047&jenis=0"
1311,"UNTIRTA",'13113048,"ADMINISTRASI PAJAK","Diploma Tiga","Tidak Ada",149,30,162,37,"https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sn.php?ptn=311&prodi=311048&jenis=0"
